fips,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01344,946,0,0,0,945,0,1,0,0,0,0
01346,605,0,0,0,605,0,0,0,0,0,0
01347,257,0,0,0,242,15,0,0,0,0,0
01349,601,0,0,0,601,0,0,0,0,0,0
01350,193,0,0,93,100,0,0,0,0,0,0
01351,1446,0,0,0,1441,5,0,0,0,0,0
01354,868,0,0,0,855,11,2,0,0,0,0
01355,802,0,0,0,800,1,1,0,0,0,0
01360,2281,0,0,0,2264,17,0,0,0,0,0
01364,3710,0,0,0,3662,31,17,0,0,0,0
01366,1076,0,0,0,953,122,1,0,0,0,0
01367,716,0,0,48,668,0,0,0,0,0,0
01368,1341,0,0,0,1340,0,1,0,0,0,0
01370,2435,0,0,0,2435,0,0,0,0,0,0
01373,2728,0,0,0,2666,54,8,0,0,0,0
01375,1488,0,0,0,1417,69,2,0,0,0,0
01376,2222,0,0,0,2214,7,1,0,0,0,0
01378,788,0,0,0,788,0,0,0,0,0,0
01379,757,0,0,0,757,0,0,0,0,0,0
01380,148,0,0,0,148,0,0,0,0,0,0
01420,12472,0,0,0,105,5612,6755,0,0,0,0
01430,3948,0,0,0,2252,1219,477,0,0,0,0
01431,1750,0,0,0,657,1052,41,0,0,0,0
01432,2738,0,0,0,0,2,2736,0,0,0,0
01434,31,0,0,0,0,0,31,0,0,0,0
01436,2,0,0,0,2,0,0,0,0,0,0
01438,,0,0,0,0,0,0,0,0,0,0
01440,6656,0,0,0,1603,4860,193,0,0,0,0
01450,4707,0,0,0,0,646,4061,0,0,0,0
01451,2535,0,0,0,0,0,2535,0,0,0,0
01452,2504,0,0,0,403,1625,476,0,0,0,0
01453,12641,0,0,0,0,973,11668,0,0,0,0
01460,4372,0,0,0,0,0,4372,0,0,0,0
01462,4714,0,0,0,7,2369,2338,0,0,0,0
01463,4319,0,0,0,107,1969,2243,0,0,0,0
01464,2489,0,0,0,0,713,1776,0,0,0,0
01468,1,0,0,0,0,1,0,0,0,0,0
01469,2854,0,0,0,134,2226,494,0,0,0,0
01473,3903,0,0,0,255,2795,853,0,0,0,0
