fips,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01344,946,0,107,786,53,0,0,0,0,0,0
01346,605,587,18,0,0,0,0,0,0,0,0
01347,257,0,0,257,0,0,0,0,0,0,0
01349,601,1,81,460,59,0,0,0,0,0,0
01350,193,144,47,0,0,0,0,0,0,0,0
01351,1446,1,127,1143,175,0,0,0,0,0,0
01354,868,0,18,790,60,0,0,0,0,0,0
01355,802,0,467,335,0,0,0,0,0,0,0
01360,2281,4,349,1858,70,0,0,0,0,0,0
01364,3710,0,204,3295,211,0,0,0,0,0,0
01366,1076,0,658,418,0,0,0,0,0,0,0
01367,716,577,119,20,0,0,0,0,0,0,0
01368,1341,0,1129,212,0,0,0,0,0,0,0
01370,2435,77,894,1463,1,0,0,0,0,0,0
01373,2728,0,5,1154,1568,1,0,0,0,0,0
01375,1488,0,50,485,953,0,0,0,0,0,0
01376,2222,0,0,1635,586,1,0,0,0,0,0
01378,788,2,554,232,0,0,0,0,0,0,0
01379,757,0,690,67,0,0,0,0,0,0,0
01380,148,0,79,69,0,0,0,0,0,0,0
01420,12472,0,219,7575,4671,7,0,0,0,0,0
01430,3948,3,3304,641,0,0,0,0,0,0,0
01431,1750,0,562,1188,0,0,0,0,0,0,0
01432,2738,0,0,24,2638,76,0,0,0,0,0
01434,31,0,0,0,29,2,0,0,0,0,0
01436,2,0,0,2,0,0,0,0,0,0,0
01438,,0,0,0,0,0,0,0,0,0,0
01440,6656,0,2683,3970,3,0,0,0,0,0,0
01450,4707,0,0,764,3943,0,0,0,0,0,0
01451,2535,0,0,450,2085,0,0,0,0,0,0
01452,2504,0,1271,1233,0,0,0,0,0,0,0
01453,12641,0,37,5209,7370,25,0,0,0,0,0
01460,4372,0,0,15,4319,38,0,0,0,0,0
01462,4714,0,0,3845,869,0,0,0,0,0,0
01463,4319,0,0,1500,2819,0,0,0,0,0,0
01464,2489,0,0,794,1693,2,0,0,0,0,0
01468,1,0,0,1,0,0,0,0,0,0,0
